dbn,school_name,address,lat,lon,district,school_type,grades,has_mshp,chronic_absenteeism_rate,enrollment,uhf_code,uhf_name,asthma_ed_rate,asthma_hosp_rate,svi_socioeconomic,svi_household_disability,svi_minority_language,svi_housing_transport,svi_overall,pct_poverty,pct_ell,pct_swd,pct_black,pct_hispanic,pct_white,pct_asian,childhood_obesity_pct,youth_mental_health_ed_rate,lead_elevated_pct,teen_pregnancy_rate,preventable_hosp_rate,food_insecurity_pct,expansion_cohort,estimated_start_year,years_with_mshp,health_burden_composite
10X024,P.S. 024 Spuyten Duyvil,660 WEST 236 STREET,40.886922,-73.915114,10,Elementary,"0K,01,02,03,04,05",False,12.847682,755.0,101,Kingsbridge - Riverdale,44.8,213.9,0.45,0.52,0.68,0.4,0.5125,0.315,0.05,0.157,0.078,0.443,0.343,0.085,18.5,85.2,0.8,12.3,125.4,12.5,,,,35.158420691568104
07X025,P.S. 025 Bilingual School,811 EAST 149 STREET,40.812895,-73.905751,7,Elementary,"PK,0K,01,02,03,04,05,SE",False,25.11520767,434.0,107,Hunts Point - Mott Haven,192.3,347.2,0.95,0.88,0.92,0.9,0.9125,0.96,0.222,0.261,0.098,0.882,0.004,0.008,34.5,168.4,4.5,48.2,268.5,38.2,,,,100.0
09X028,P.S. 028 Mount Hope,1861 ANTHONY AVENUE,40.848344,-73.903821,9,Elementary,"PK,0K,01,02,03,04,05",True,40.06462097,619.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.96,0.309,0.248,0.192,0.785,0.008,0.007,31.2,142.6,3.2,38.5,218.4,32.4,cohort_2_2010_2015,2012.0,12.0,84.5066113474254
07X029,P.S./M.S. 029 Melrose School,758 COURTLANDT AVENUE,40.821544,-73.916419,7,Middle School,"PK,0K,01,02,03,04,05,06,07,08",False,33.04093552,684.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.9490000000000001,0.137,0.236,0.334,0.624,0.016,0.006,32.8,158.3,3.8,42.3,245.2,35.8,,,,91.77022147534737
07X030,P.S. 030 Wilton,510 EAST 141 STREET,40.809023,-73.917417,7,Elementary,"PK,0K,01,02,03,04,05",False,38.30334091,389.0,107,Hunts Point - Mott Haven,192.3,347.2,0.95,0.88,0.92,0.9,0.9125,0.935,0.196,0.257,0.21,0.758,0.023,0.002,34.5,168.4,4.5,48.2,268.5,38.2,,,,100.0
07X031,P.S./M.S. 031 The William Lloyd Garrison,250 EAST 156 STREET,40.822574,-73.92114,7,Middle School,"PK,0K,01,02,03,04,05,06,07,08",True,29.10569191,615.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.937,0.154,0.253,0.289,0.656,0.028,0.017,32.8,158.3,3.8,42.3,245.2,35.8,cohort_2_2010_2015,2012.0,12.0,91.77022147534737
10X032,P.S. 032 Belmont,690 EAST 183 STREET,40.851724,-73.88622,10,Elementary,"0K,01,02,03,04,05",False,48.32775879,598.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.96,0.184,0.234,0.171,0.782,0.021,0.006,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
10X033,P.S. 033 Timothy Dwight,2424 JEROME AVENUE,40.861698,-73.901268,10,Elementary,"PK,0K,01,02,03,04,05",False,49.70553589,849.0,103,Fordham - Bronx Park,132.4,344.5,0.78,0.72,0.82,0.7,0.7549999999999999,0.89,0.272,0.189,0.086,0.885,0.008,0.005,28.4,115.3,2.1,28.4,185.6,24.5,,,,66.67577206983725
09X035,P.S. 035 Franz Siegel,261 EAST 163 STREET,40.828009,-73.917705,9,Elementary,"0K,01,02,03,04,05",False,38.55721283,402.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.96,0.257,0.246,0.241,0.717,0.015,0.002,32.8,158.3,3.8,42.3,245.2,35.8,,,,91.77022147534737
08X036,P.S. 036 Unionport,1070 CASTLE HILL AVENUE,40.82948,-73.849791,8,Elementary,"PK,0K,01,02,03,04,05",False,40.95890427,730.0,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.764,0.143,0.153,0.094,0.477,0.048,0.352,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
10X037,P.S. X037 - Multiple Intelligence School,360 WEST 230 STREET,40.877935,-73.913694,10,Elementary,"0K,01,02,03,04,05,06,07,08",False,53.81443405,485.0,101,Kingsbridge - Riverdale,44.8,213.9,0.45,0.52,0.68,0.4,0.5125,0.871,0.155,0.276,0.177,0.776,0.018,0.016,18.5,85.2,0.8,12.3,125.4,12.5,,,,35.158420691568104
11X041,P.S. 041 Gun Hill Road,3352 OLINVILLE AVENUE,40.874754,-73.867834,11,Elementary,"0K,01,02,03,04,05",False,49.06204987,693.0,103,Fordham - Bronx Park,132.4,344.5,0.78,0.72,0.82,0.7,0.7549999999999999,0.934,0.133,0.215,0.462,0.474,0.026,0.021,28.4,115.3,2.1,28.4,185.6,24.5,,,,66.67577206983725
09X042,P.S. 042 Claremont,1537 WASHINGTON AVENUE,40.838636,-73.903243,9,Elementary,"PK,0K,01,02,03,04,05",False,51.38539124,397.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.96,0.196,0.34,0.321,0.647,0.019,0.006,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
07X043,P.S. 043 Jonas Bronck,165 BROWN PLACE,40.806452,-73.921593,7,Elementary,"PK,0K,01,02,03,04,05",False,26.90355301,394.0,107,Hunts Point - Mott Haven,192.3,347.2,0.95,0.88,0.92,0.9,0.9125,0.96,0.166,0.193,0.218,0.739,0.009,0.009,34.5,168.4,4.5,48.2,268.5,38.2,,,,100.0
12X044,P.S. 044 David C. Farragut,1825 PROSPECT AVENUE,40.842564,-73.891086,12,Elementary,"PK,0K,01,02,03,04,05",False,50.92592621,216.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.96,0.185,0.123,0.348,0.643,0.004,0.0,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
10X045,Thomas C. Giordano Middle School 45,2502 LORILLARD PLACE,40.858389,-73.887026,10,Middle School,"06,07,08",False,39.61455917,467.0,103,Fordham - Bronx Park,132.4,344.5,0.78,0.72,0.82,0.7,0.7549999999999999,0.94,0.188,0.222,0.165,0.79,0.023,0.014,28.4,115.3,2.1,28.4,185.6,24.5,,,,66.67577206983725
10X046,P.S. 046 Edgar Allan Poe,279 EAST 196 STREET,40.867169,-73.890402,10,Elementary,"0K,01,02,03,04,05",False,30.46757126,663.0,103,Fordham - Bronx Park,132.4,344.5,0.78,0.72,0.82,0.7,0.7549999999999999,0.8740000000000001,0.38,0.203,0.109,0.855,0.016,0.013,28.4,115.3,2.1,28.4,185.6,24.5,,,,66.67577206983725
12X047,P.S. 047 John Randolph,1794 EAST 172 STREET,40.832529,-73.866974,12,Elementary,"0K,01,02,03,04,05",False,35.02304077,868.0,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.96,0.316,0.17,0.193,0.625,0.017,0.131,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
08X048,P.S. 048 Joseph R. Drake,1290 SPOFFORD AVENUE,40.814034,-73.886834,8,Elementary,"PK,0K,01,02,03,04,05",False,51.6831665,505.0,107,Hunts Point - Mott Haven,192.3,347.2,0.95,0.88,0.92,0.9,0.9125,0.885,0.222,0.232,0.244,0.727,0.012,0.002,34.5,168.4,4.5,48.2,268.5,38.2,,,,100.0
07X049,P.S. 049 Willis Avenue,383 EAST 139 STREET,40.810413,-73.92273,7,Elementary,"PK,0K,01,02,03,04,05",False,34.46327591,531.0,107,Hunts Point - Mott Haven,192.3,347.2,0.95,0.88,0.92,0.9,0.9125,0.96,0.146,0.239,0.239,0.732,0.009,0.005,34.5,168.4,4.5,48.2,268.5,38.2,,,,100.0
10X051,The Bronx STEM and Arts Academy,695 EAST 182ND STREET,40.850674,-73.886997,10,High School,"0K,01,02,03,04,05",False,41.29032135,155.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.8809999999999999,0.057,0.136,0.244,0.71,0.011,0.023,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
