priority_rank,dbn,school_name,school_type,address,uhf_name,asthma_ed_rate,chronic_absenteeism_rate,enrollment,asthma_score,absenteeism_score,enrollment_score,priority_score,priority_tier
68,11X076,P.S. 076 The Bennington School,Elementary,900 ADEE AVENUE,Northeast Bronx,104.6,47.06790161,648.0,28.1,83.9,84.3,61.7,Tier 2 - High
69,07X381,Bronx Haven High School,High School,333 EAST 151 STREET,High Bridge - Morrisania,178.0,,,78.8,50.2,50.0,61.6,Tier 2 - High
70,07X379,Jill Chaifetz Transfer High School,High School,778 FOREST AVENUE,High Bridge - Morrisania,178.0,,,78.8,50.2,50.0,61.6,Tier 2 - High
71,12X212,P.S. 212,Elementary,1180 TINTON AVENUE,High Bridge - Morrisania,178.0,,,78.8,50.2,50.0,61.6,Tier 2 - High
72,09X324,Bronx Early College Academy for Teaching & Learnin,High School,250 EAST 164 STREET,High Bridge - Morrisania,178.0,39.36170197,376.0,78.8,58.0,34.3,61.6,Tier 2 - High
73,75X017,P.S. X017,Elementary,778 FOREST AVENUE,High Bridge - Morrisania,178.0,,,78.8,50.2,50.0,61.6,Tier 2 - High
74,07X151,J.H.S. 151 Lou Gehrig,Middle School,250 EAST 156 STREET,High Bridge - Morrisania,178.0,,,78.8,50.2,50.0,61.6,Tier 2 - High
75,09X404,School for Excellence,Other,1110 BOSTON ROAD,High Bridge - Morrisania,178.0,,,78.8,50.2,50.0,61.6,Tier 2 - High
76,08X559,School for Tourism and Hospitality,Other,900 TINTON AVENUE,High Bridge - Morrisania,178.0,,,78.8,50.2,50.0,61.6,Tier 2 - High
77,08X146,P.S. 146 Edward Collins,Elementary,968 CAULDWELL AVENUE,High Bridge - Morrisania,178.0,40.80996704,321.0,78.8,62.9,22.9,61.3,Tier 2 - High
78,07X277,P.S. 277,Elementary,519 ST ANNS AVENUE,Hunts Point - Mott Haven,192.3,37.62886429,388.0,94.1,40.2,37.4,61.2,Tier 2 - High
79,11X103,P.S. 103 Hector Fontanez,Elementary,4125 CARPENTER AVENUE,Northeast Bronx,104.6,43.70034027,881.0,28.1,76.2,96.2,61.0,Tier 2 - High
80,09X011,P.S. 011 Highbridge,Elementary,1257 OGDEN AVENUE,High Bridge - Morrisania,178.0,37.89954376,438.0,78.8,41.6,63.8,60.9,Tier 2 - High
81,12X067,P.S. 067 Mohegan School,Elementary,2024 MOHEGAN AVENUE,Crotona - Tremont,171.9,45.77259445,343.0,57.7,80.1,29.2,60.9,Tier 2 - High
82,10X264,Bronx Academy for Software Engineering (BASE),High School,2474 CROTONA AVENUE,Fordham - Bronx Park,132.4,52.56410217,390.0,39.7,92.8,38.8,60.8,Tier 2 - High
83,12X044,P.S. 044 David C. Farragut,Elementary,1825 PROSPECT AVENUE,Crotona - Tremont,171.9,50.92592621,216.0,57.7,90.2,7.3,60.6,Tier 2 - High
84,07X223,The Laboratory School of Finance and Technology: X,Other,360 EAST 145 STREET,Hunts Point - Mott Haven,192.3,27.85388184,657.0,94.1,14.7,85.0,60.5,Tier 2 - High
85,07X001,P.S. 001 Courtlandt School,Elementary,335 EAST 152 STREET,High Bridge - Morrisania,178.0,37.3601799,447.0,78.8,39.2,65.2,60.2,Tier 2 - High
86,10X094,P.S. 094 Kings College School,Elementary,3530 KINGS COLLEGE PLACE,Fordham - Bronx Park,132.4,40.95940781,813.0,39.7,63.6,93.4,60.0,Tier 2 - High
