dbn,school_name,has_mshp,propensity_score,ps_quintile,chronic_absenteeism_rate
12X196,P.S. 196,False,0.20626411509777576,Q1,32.66128922
09X199,P.S. 199X - The Shakespeare School,True,0.21770016608716417,Q2,32.45192337
09X204,P.S. 204 Morris Heights,False,0.21443163350313035,Q1,33.11475372
10X205,P.S. 205 Fiorello LaGuardia,False,0.24341022078212188,Q4,41.41414261
10X206,I.S. 206 Ann Mersereau,False,0.2671738043653401,Q5,31.78294563
10X207,P.S. 207,False,0.3463535216755915,Q5,42.55319214
10X209,P.S. 209,False,0.2315280325643763,Q3,28.5714283
12X211,P.S. 211,False,0.23525090134374085,Q3,36.36363602
10X213,Bronx Engineering and Technology Academy,False,0.34553769029586734,Q5,56.3953476
12X214,P.S. 214,False,0.18851187248709836,Q1,48.22006607
09X215,Kappa,False,0.23914974361713942,Q4,23.60248375
12X217,School of Performing Arts,True,0.22095466990834933,Q2,44.23077011
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,False,0.194026202714049,Q1,34.09915543
09X219,I.S. 219 New Venture School,False,0.22570830695402402,Q3,37.2262764
07X221,South Bronx Preparatory: A College Board School,False,0.19280284637258654,Q1,26.50793648
07X223,The Laboratory School of Finance and Technology: X,False,0.19024119175219306,Q1,27.85388184
07X224,P.S./I.S. 224,False,0.21883456024399406,Q2,34.05405426
10X225,Theatre Arts Production Company School,False,0.23150866465948233,Q3,51.50115585
10X226,P.S. 226,False,0.2213631288644459,Q2,28.36257362
09X227,Bronx Collegiate Academy,True,0.22478839108869222,Q3,37.00440598
10X228,Jonas Bronck Academy,False,0.27066337705702165,Q5,18.939394
09X229,I.S. 229 Roland Patterson,True,0.2303170142115835,Q3,37.5
09X231,Eagle Academy for Young Men,False,0.23544738241785235,Q3,17.06783295
09X232,I.S. 232,False,0.22321826668031244,Q2,29.39068031
09X236,P.S. 236 Langston Hughes,False,0.21852461584030078,Q2,37.31778336
10X237,"The Marie Curie School for Medicine, Nursing, and",False,0.35681045398611483,Q5,45.99303055
09X241,Urban Assembly School for Applied Math and Science,False,0.20692556382362276,Q1,57.67097855
12X242,Mott Hall V,False,0.19905176701922736,Q1,32.3262825
10X243,West Bronx Academy for the Future,True,0.24187936456018022,Q4,29.64824104
10X244,The New School for Leadership and Journalism,False,0.3036951865804409,Q5,32.03252029
10X246,P.S. 246 Poe Center,False,0.24434570176763973,Q4,47.48490906
12X248,"Metropolitan High School, The",False,0.22466521267370163,Q3,61.95121765
11X249,Bronx Health Sciences High School,False,0.2607333814756366,Q5,28.80886459
09X250,Eximius College Preparatory Academy: A College Boa,False,0.2339866632361181,Q3,42.97082138
12X251,Explorations Academy H.S.,True,0.2395935257317742,Q4,36.33093643
09X252,Mott Hall Bronx High School,False,0.22802482929082024,Q3,48.95522308
10X254,I.S. 254,False,0.262647823289936,Q5,31.63716888
11X275,High School of Computers and Technology,True,0.2799241117216275,Q5,35.79766464
07X259,"H.E.R.O. High (Health, Education, and Research Occ",False,0.19190046550424963,Q1,54.0
09X260,Bronx Center for Science and Mathematics,False,0.227467545784023,Q3,36.27204132
09X263,Validus Preparatory Academy,False,0.23130819574462633,Q3,56.49350739
10X264,Bronx Academy for Software Engineering (BASE),False,0.28368749396581266,Q5,52.56410217
11X265,Bronx Lab School,True,0.2829631275386685,Q5,40.06849289
12X267,Bronx Latin,False,0.21663996168683167,Q2,46.80412292
10X268,Kingsbridge International High School,True,0.2658784159962391,Q5,43.72294235
08X269,Bronx Studio School for Writers and Artists,False,0.20146685202655856,Q1,48.94308853
11X270,Academy for Scholarship and Entrepreneurship: A Co,False,0.24855736023117578,Q4,41.79104614
12X271,East Bronx Academy for the Future,False,0.19907223118477962,Q1,43.6046524
12X273,Frederick Douglass Academy V. Middle School,False,0.23107337991935667,Q3,46.55172348
09X274,The New American Academy at Roberto Clemente State,True,0.21577159349157102,Q2,45.66929245
07X277,P.S. 277,False,0.20440516953950214,Q1,37.62886429
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",False,0.1950566066445965,Q1,26.36229706
10X280,P.S./M.S. 280 Mosholu Parkway,False,0.23420623717250222,Q3,42.91609192
08X282,Women's Academy of Excellence,True,0.23978171230950202,Q4,43.06930542
10X284,Bronx School of Law and Finance,False,0.3485933514401556,Q5,50.82872772
12X286,Fannie Lou Hamer Middle School,False,0.23739096281917335,Q4,41.69741821
11X287,North Bronx School of Empowerment,True,0.2661212895519634,Q5,45.62334061
11X288,Collegiate Institute for Math and Science,True,0.25221594108526557,Q4,27.39726067
11X290,Bronx Academy of Health Careers,True,0.27490577143273687,Q5,28.44311333
10X291,P.S. 291,False,0.21910741290817415,Q2,38.80596924
08X293,Renaissance High School for Musical Theater and th,True,0.24910628145505492,Q4,45.92592621
09X294,The Walton Avenue School,False,0.23029145344947932,Q3,38.27160645
07X296,South Bronx Academy for Applied Media,False,0.24351976397545352,Q4,41.530056
09X297,Morris Academy for Collaborative Studies,True,0.21222777997536996,Q1,56.4270134
07X298,Academy of Public Relations,False,0.2406050309803383,Q4,31.29251671
11X299,Astor Collegiate Academy,True,0.25545152618843453,Q4,40.49216843
12X300,The School of Science and Applied Learning,False,0.21495990336861973,Q1,48.2269516
08X301,M.S. 301 Paul L. Dunbar,False,0.2413422020952284,Q4,43.93063736
08X302,M.S. 302 Luisa Dessus Cruz,False,0.20916501307688568,Q1,32.57790375
09X303,I.S. X303 Leadership & Community Service,False,0.22122941738398028,Q2,24.50980377
08X304,P.S. 304 Early Childhood School,False,0.262417291897306,Q5,39.07849884
10X306,P.S. 306,False,0.2234003753255413,Q2,30.52884674
10X308,Bronx Dance Academy School,False,0.27392566974851873,Q5,42.23826599
10X310,P.S. 310 Marble Hill,False,0.3242866715675994,Q5,39.91507339
09X311,Lucero Elementary School,False,0.2222269294006132,Q2,38.0062294
08X312,Millennium Art Academy,True,0.24642687854868708,Q4,43.25842667
09X313,I.S. 313 School of Leadership Development,True,0.24498440796740628,Q4,35.48387146
12X314,Fairmont Neighborhood School,False,0.23079866284829673,Q3,41.1971817
10X315,P.S. 315 Lab School,False,0.274804729111347,Q5,34.56221008
12X316,Kappa III,False,0.22778589116713804,Q3,36.76470566
12X318,"I.S. X318 Math, Science & Technology Through Arts",False,0.22159676350437107,Q2,45.5149498
08X320,Pelham Lab High School,True,0.2541549109937372,Q4,62.98507309
09X323,Bronx Writing Academy,False,0.23035958835309286,Q3,35.37735748
09X324,Bronx Early College Academy for Teaching & Learnin,False,0.2285108632426372,Q3,39.36170197
11X326,Bronx Green Middle School,False,0.253669430001962,Q4,42.63158035
09X327,Comprehensive Model School Project M.S. 327,True,0.200566414145024,Q1,42.03730392
09X328,New Millennium Bronx Academy of the Arts,True,0.24578211863740776,Q4,31.57894707
09X329,DreamYard Preparatory School,True,0.22614099413583494,Q3,34.6875
10X331,The Bronx School of Young Leaders,False,0.2316531565003781,Q3,34.94623566
08X333,The Longwood Academy of Discovery,False,0.20200917234404892,Q1,49.39516068
07X334,International Community High School,False,0.20260908108593226,Q1,44.92753601
08X337,The School for Inquiry and Social Justice,False,0.24135422171564713,Q4,35.64356613
09X339,I.S. 339,True,0.2290351785675825,Q3,18.40796089
10X340,P.S. 340,False,0.24597389836139688,Q4,36.25827789
12X341,Accion Academy,True,0.2167291341385628,Q2,40.65420532
10X342,International School for Liberal Arts,True,0.261135105425297,Q5,35.0202446
07X343,Academy of Applied Mathematics and Technology,False,0.21655193004522086,Q2,24.56140327
10X344,Ampark Neighborhood,True,0.42117033340653903,Q5,22.90322495
08X348,Schuylerville Preparatory High School,True,0.2562243992230746,Q4,57.67045593
08X349,Bronx River High School,True,0.24562228240631448,Q4,39.53488541
10X351,Bronx Collaborative High School,True,0.2674557178276348,Q5,76.55914307
10X353,World View High School,True,0.2546477758003094,Q4,39.6369133
11X355,Bronx Alliance Middle School,True,0.27061900359746377,Q5,32.53588486
11X357,Young Voices Academy of the Bronx,False,0.2430966461271902,Q4,27.29528618
07X359,Concourse Village Elementary School,False,0.25486350593464663,Q4,7.339449406
10X360,P.S. 360,False,0.35274838677193654,Q5,42.62295151
09X361,The Highbridge Green School,False,0.21530777953837085,Q2,27.40384674
10X363,Academy For Personal Leadership And Excellence,False,0.22459145112239873,Q3,43.40723419
09X365,Academy for Language and Technology,False,0.21584371828518634,Q2,25.78947449
08X367,"Archimedes Academy for Math, Science and Technolog",True,0.2279349742555466,Q3,54.10821533
10X368,In-Tech Academy (M.S. / High School 368),False,0.2902863224259653,Q5,24.92462349
07X369,Young Leaders Elementary School,False,0.21499782200954476,Q2,36.13445282
11X370,Leaders of Tomorrow,True,0.27426586333407854,Q5,47.25274658
08X371,Urban Institute of Mathematics,False,0.26355781969947273,Q5,31.59203911
10X374,Knowledge and Power Preparatory Academy Internatio,True,0.255958051609954,Q4,50.94339752
08X375,The Bronx Mathematics Preparatory School,True,0.23942881461552473,Q4,47.68518448
08X376,Antonia Pantoja Preparatory Academy: A College Boa,True,0.23286740323146546,Q3,56.87645721
12X383,Emolior Academy,False,0.21910112181876898,Q2,37.68473053
10X386,School for Environmental Citizenship,False,0.2006021405851384,Q1,26.13065338
12X388,Pan American International High School at Monroe,False,0.2220567186012332,Q2,40.35989761
10X390,M.S. 390,False,0.22412007430608352,Q3,26.12612534
10X391,The Angelo Patri Middle School,False,0.22179771560531528,Q2,32.8083992
08X392,Bronx Delta School,False,0.2579564927687271,Q4,38.83720779
10X396,P.S. 396,False,0.23861349481655317,Q4,22.4066391
09X403,Bronx International High School,True,0.22814265441597184,Q3,62.01716614
08X405,Herbert H. Lehman High School,True,0.1937824050461505,Q1,35.7269516
09X412,Bronx High School of Business,True,0.22821580081605192,Q3,54.79876328
09X413,Bronx High School for Medical Science,True,0.22782065128361062,Q3,26.03406334
11X418,Bronx High School for the Visual Arts,False,0.2356824212130477,Q3,37.6744194
08X424,The Hunts Point School,False,0.2226937528187616,Q2,36.81318665
07X427,Community School for Social Justice,False,0.24019497386473845,Q4,59.80861282
08X432,Bronx Bridges High School,True,0.23140309464305356,Q3,45.88528824
10X433,High School for Teaching and the Professions,True,0.2731638912907691,Q5,32.96703339
10X434,Belmont Preparatory High School,True,0.27706585491037344,Q5,48.36795425
10X437,Fordham High School for the Arts,True,0.28769609442525707,Q5,24.21652412
10X438,Fordham Leadership Academy,True,0.27136760058276166,Q5,35.38461685
10X439,Bronx High School for Law and Community Service,True,0.2632406682850835,Q5,34.90813828
10X440,DeWitt Clinton High School,True,0.20431849093747342,Q1,29.08522224
10X442,"Celia Cruz Bronx High School of Music, The",True,0.28791086365643415,Q5,13.17073154
09X443,The Family School,False,0.21971296577818994,Q2,41.55251312
