dbn,school_name,school_type,enrollment,uhf_name,lat,lon,chronic_absenteeism_rate,asthma_ed_rate,svi_overall,svi_socioeconomic,distance_to_nearest_mshp_miles,accessibility_tier,asthma_score,absenteeism_score,enrollment_score,svi_score,isolation_score,enhanced_priority_score,enhanced_priority_rank,enhanced_priority_tier
08X424,The Hunts Point School,Other,182.0,Hunts Point - Mott Haven,40.815827,-73.885284,36.81318665,192.3,0.9125,0.95,0.6410092391260716,Moderate (0.5-1 mi),94.05594405594405,47.55244755244755,14.685314685314685,94.05594405594405,69.58041958041959,69.17832167832168,32,Tier 2 - High (10-25%)
07X005,P.S. 5 Port Morris,Elementary,717.0,Hunts Point - Mott Haven,40.813896,-73.908358,23.98884201,192.3,0.9125,0.95,0.33370840258880974,Close (0.25-0.5 mi),94.05594405594405,16.783216783216783,89.16083916083916,94.05594405594405,34.96503496503497,69.00349650349649,33,Tier 2 - High (10-25%)
07X025,P.S. 025 Bilingual School,Elementary,434.0,Hunts Point - Mott Haven,40.812895,-73.905751,25.11520767,192.3,0.9125,0.95,0.4701587877180416,Close (0.25-0.5 mi),94.05594405594405,19.230769230769234,62.93706293706294,94.05594405594405,54.89510489510489,68.54895104895104,34,Tier 2 - High (10-25%)
07X369,Young Leaders Elementary School,Elementary,238.0,Hunts Point - Mott Haven,40.80908,-73.919773,36.13445282,192.3,0.9125,0.95,0.5263540874809388,Moderate (0.5-1 mi),94.05594405594405,44.40559440559441,19.230769230769234,94.05594405594405,63.46153846153846,68.31293706293707,35,Tier 2 - High (10-25%)
09X443,The Family School,Other,438.0,High Bridge - Morrisania,40.831873,-73.917526,41.55251312,178.0,0.8775,0.92,0.35583147854923625,Close (0.25-0.5 mi),78.84615384615384,66.08391608391608,63.81118881118881,78.84615384615384,38.28671328671329,67.95454545454545,36,Tier 2 - High (10-25%)
07X427,Community School for Social Justice,Other,209.0,High Bridge - Morrisania,40.815712,-73.92996,59.80861282,178.0,0.8775,0.92,0.38251394850109366,Close (0.25-0.5 mi),78.84615384615384,98.25174825174825,16.95804195804196,78.84615384615384,41.78321678321678,67.88461538461539,37,Tier 2 - High (10-25%)
10X032,P.S. 032 Belmont,Elementary,598.0,Crotona - Tremont,40.851724,-73.88622,48.32775879,171.9,0.8524999999999999,0.88,0.5495213150366886,Moderate (0.5-1 mi),57.692307692307686,86.36363636363636,80.76923076923077,57.692307692307686,64.33566433566433,67.88461538461537,38,Tier 2 - High (10-25%)
07X223,The Laboratory School of Finance and Technology: X,Other,657.0,Hunts Point - Mott Haven,40.813612,-73.920851,27.85388184,192.3,0.9125,0.95,0.2135655311115201,Very Close (<0.25 mi),94.05594405594405,25.174825174825177,84.96503496503497,94.05594405594405,19.055944055944053,67.66608391608392,39,Tier 2 - High (10-25%)
09X457,Sheridan Academy for Young Leaders,High School,447.0,High Bridge - Morrisania,40.831873,-73.917526,40.49216843,178.0,0.8775,0.92,0.35583147854923625,Close (0.25-0.5 mi),78.84615384615384,62.58741258741259,65.20979020979021,78.84615384615384,38.28671328671329,67.46503496503496,40,Tier 2 - High (10-25%)
12X006,P.S. 006 West Farms,Elementary,493.0,Crotona - Tremont,40.840445,-73.882531,53.34685516,171.9,0.8524999999999999,0.88,0.5116200268534349,Moderate (0.5-1 mi),57.692307692307686,93.7062937062937,71.67832167832168,57.692307692307686,60.31468531468531,67.38636363636364,41,Tier 2 - High (10-25%)
12X267,Bronx Latin,Other,485.0,High Bridge - Morrisania,40.826933,-73.900593,46.80412292,178.0,0.8775,0.92,0.10472985459682765,Very Close (<0.25 mi),78.84615384615384,82.86713286713287,70.8041958041958,78.84615384615384,3.6713286713286712,67.16783216783216,42,Tier 2 - High (10-25%)
07X221,South Bronx Preparatory: A College Board School,High School,630.0,Hunts Point - Mott Haven,40.813612,-73.920851,26.50793648,192.3,0.9125,0.95,0.2135655311115201,Very Close (<0.25 mi),94.05594405594405,22.727272727272727,83.56643356643356,94.05594405594405,19.055944055944053,66.96678321678321,43,Tier 2 - High (10-25%)
12X300,The School of Science and Applied Learning,Other,423.0,Crotona - Tremont,40.846128,-73.886721,48.2269516,171.9,0.8524999999999999,0.88,0.7122262626400467,Moderate (0.5-1 mi),57.692307692307686,86.01398601398601,60.66433566433567,57.692307692307686,78.67132867132867,66.9493006993007,44,Tier 2 - High (10-25%)
12X682,Fannie Lou Hamer Freedom High School,High School,441.0,Crotona - Tremont,40.831212,-73.885804,65.07936859,171.9,0.8524999999999999,0.88,0.4284562938154124,Close (0.25-0.5 mi),57.692307692307686,99.3006993006993,64.6853146853147,57.692307692307686,50.0,65.9090909090909,45,Tier 2 - High (10-25%)
09X110,P.S. 110 Theodore Schoenfeld,Elementary,332.0,High Bridge - Morrisania,40.83447,-73.900654,47.59036255,178.0,0.8775,0.92,0.24727387124849298,Very Close (<0.25 mi),78.84615384615384,84.96503496503497,36.01398601398601,78.84615384615384,23.6013986013986,65.3583916083916,46,Tier 2 - High (10-25%)
09X011,P.S. 011 Highbridge,Elementary,438.0,High Bridge - Morrisania,40.839693,-73.92589,37.89954376,178.0,0.8775,0.92,0.3709087456571821,Close (0.25-0.5 mi),78.84615384615384,52.09790209790209,63.81118881118881,78.84615384615384,39.16083916083916,65.28846153846153,47,Tier 2 - High (10-25%)
07X224,P.S./I.S. 224,Middle School,185.0,Hunts Point - Mott Haven,40.810314,-73.918774,34.05405426,192.3,0.9125,0.95,0.46597880595649355,Close (0.25-0.5 mi),94.05594405594405,39.16083916083916,15.384615384615385,94.05594405594405,53.4965034965035,65.1923076923077,48,Tier 2 - High (10-25%)
12X684,Wings Academy,High School,261.0,Crotona - Tremont,40.841376,-73.875262,58.62068939,171.9,0.8524999999999999,0.88,0.8762651921692947,Moderate (0.5-1 mi),57.692307692307686,97.9020979020979,23.776223776223777,57.692307692307686,86.36363636363636,64.94755244755245,49,Tier 2 - High (10-25%)
07X670,Health Opportunities High School,High School,253.0,High Bridge - Morrisania,40.815712,-73.92996,45.45454407,178.0,0.8775,0.92,0.38251394850109366,Close (0.25-0.5 mi),78.84615384615384,79.02097902097903,22.202797202797203,78.84615384615384,41.78321678321678,64.82517482517483,50,Tier 2 - High (10-25%)
09X128,Mott Hall III,Other,294.0,High Bridge - Morrisania,40.83447,-73.900654,47.95918274,178.0,0.8775,0.92,0.24727387124849298,Very Close (<0.25 mi),78.84615384615384,85.3146853146853,29.02097902097902,78.84615384615384,23.6013986013986,64.37937062937063,51,Tier 2 - High (10-25%)
12X057,P.S. 057 Crescent,Elementary,408.0,Crotona - Tremont,40.848748,-73.888987,43.13725662,171.9,0.8524999999999999,0.88,0.7408295424794681,Moderate (0.5-1 mi),57.692307692307686,72.72727272727273,57.34265734265735,57.692307692307686,81.64335664335664,64.23951048951048,52,Tier 2 - High (10-25%)
07X029,P.S./M.S. 029 Melrose School,Middle School,684.0,High Bridge - Morrisania,40.821544,-73.916419,33.04093552,178.0,0.8775,0.92,0.2569117426879037,Close (0.25-0.5 mi),78.84615384615384,37.41258741258741,86.7132867132867,78.84615384615384,26.223776223776223,63.84615384615384,53,Tier 2 - High (10-25%)
07X154,P.S. 154 Jonathan D. Hyatt,Elementary,240.0,Hunts Point - Mott Haven,40.808194,-73.925459,25.0,192.3,0.9125,0.95,0.5830482602140612,Moderate (0.5-1 mi),94.05594405594405,18.88111888111888,19.755244755244757,94.05594405594405,66.43356643356644,63.73251748251749,54,Tier 2 - High (10-25%)
09X505,"Bronx School for Law, Government and Justice",Other,714.0,High Bridge - Morrisania,40.827461,-73.919024,32.35293961,178.0,0.8775,0.92,0.2591810906340276,Close (0.25-0.5 mi),78.84615384615384,34.61538461538461,88.81118881118881,78.84615384615384,26.573426573426573,63.65384615384615,55,Tier 2 - High (10-25%)
10X091,P.S. 091 Bronx,Elementary,398.0,Crotona - Tremont,40.858286,-73.907494,43.96984863,171.9,0.8524999999999999,0.88,0.6701392252700742,Moderate (0.5-1 mi),57.692307692307686,77.62237762237763,53.32167832167832,57.692307692307686,72.72727272727273,63.27797202797203,56,Tier 2 - High (10-25%)
08X301,M.S. 301 Paul L. Dunbar,Middle School,173.0,High Bridge - Morrisania,40.822291,-73.906739,43.93063736,178.0,0.8775,0.92,0.38606513822535254,Close (0.25-0.5 mi),78.84615384615384,77.27272727272727,13.636363636363635,78.84615384615384,42.30769230769231,63.26923076923077,57,Tier 2 - High (10-25%)
