dbn,school_name,lat,lon,uhf_name,distance_to_nearest_mshp_miles,nearest_mshp_dbn,nearest_mshp_name,walking_time_mins,accessibility_tier
08X301,M.S. 301 Paul L. Dunbar,40.822291,-73.906739,High Bridge - Morrisania,0.38606513822535254,09X297,Morris Academy for Collaborative Studies,7.721302764507051,Close (0.25-0.5 mi)
08X302,M.S. 302 Luisa Dessus Cruz,40.816078,-73.901599,Hunts Point - Mott Haven,0.5171345113592438,12X446,Arturo A. Schomburg Satellite Academy Bronx,10.342690227184876,Moderate (0.5-1 mi)
09X303,I.S. X303 Leadership & Community Service,40.849416,-73.915217,Crotona - Tremont,0.39219007412031853,09X229,I.S. 229 Roland Patterson,7.843801482406371,Close (0.25-0.5 mi)
08X304,P.S. 304 Early Childhood School,40.82708,-73.829211,Pelham - Throgs Neck,1.0312633640566373,08X293,Renaissance High School for Musical Theater and th,20.625267281132746,Far (>1 mi)
10X306,P.S. 306,40.850722,-73.910827,Crotona - Tremont,0.40136175760423015,09X028,P.S. 028 Mount Hope,8.027235152084604,Close (0.25-0.5 mi)
10X307,Luisa Pineiro Fuentes School of Science and Discov,40.869142,-73.901821,Fordham - Bronx Park,0.24852147871123662,10X268,Kingsbridge International High School,4.970429574224732,Very Close (<0.25 mi)
10X308,Bronx Dance Academy School,40.885428,-73.878051,Fordham - Bronx Park,0.6860663679196538,10X351,Bronx Collaborative High School,13.721327358393076,Moderate (0.5-1 mi)
10X310,P.S. 310 Marble Hill,40.872477,-73.905547,Kingsbridge - Riverdale,0.5020809296827,10X268,Kingsbridge International High School,10.041618593654,Moderate (0.5-1 mi)
09X311,Lucero Elementary School,40.8404,-73.915879,High Bridge - Morrisania,0.14570681984496964,09X327,Comprehensive Model School Project M.S. 327,2.9141363968993925,Very Close (<0.25 mi)
12X314,Fairmont Neighborhood School,40.834188,-73.886995,Crotona - Tremont,0.23567756120913788,12X251,Explorations Academy H.S.,4.7135512241827575,Very Close (<0.25 mi)
10X315,P.S. 315 Lab School,40.873659,-73.900068,Fordham - Bronx Park,0.3543214117056953,10X268,Kingsbridge International High School,7.086428234113907,Close (0.25-0.5 mi)
12X316,Kappa III,40.846128,-73.886721,Crotona - Tremont,0.7122262626400467,12X251,Explorations Academy H.S.,14.244525252800935,Moderate (0.5-1 mi)
12X318,"I.S. X318 Math, Science & Technology Through Arts",40.843705,-73.890145,Crotona - Tremont,0.5159949772501471,12X251,Explorations Academy H.S.,10.319899545002942,Moderate (0.5-1 mi)
