dbn,school_name,uhf_name,has_mshp,health_burden_weighted,health_burden_rank,burden_tier,asthma_ed_rate,childhood_obesity_pct,youth_mental_health_ed_rate,lead_elevated_pct,food_insecurity_pct,enrollment
07X157,P.S. 157 Grove Hill,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,414.0
09X250,Eximius College Preparatory Academy: A College Boa,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,377.0
07X359,Concourse Village Elementary School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,218.0
09X328,New Millennium Bronx Academy of the Arts,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,133.0
09X327,Comprehensive Model School Project M.S. 327,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,697.0
07X427,Community School for Social Justice,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,209.0
09X215,Kappa,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,161.0
09X219,I.S. 219 New Venture School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,274.0
07X151,J.H.S. 151 Lou Gehrig,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,
09X311,Lucero Elementary School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,321.0
07X600,Alfred E. Smith Career and Technical Education Hig,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,418.0
09X011,P.S. 011 Highbridge,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,438.0
09X543,High School for Violin and Dance,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,146.0
07X670,Health Opportunities High School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,253.0
09X035,P.S. 035 Franz Siegel,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,402.0
09X063,P.S. 063 Author's Academy,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,406.0
75X017,P.S. X017,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,
07X018,P.S. 018 John Peter Zenger,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,322.0
09X594,M.S. 594,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,158.0
