dbn,pct_poverty,pct_ell,pct_swd,pct_black,pct_hispanic,pct_white,pct_asian
09X311,0.96,0.502,0.242,0.07,0.908,0.015,0.0
07X381,0.95,0.058,0.383,0.308,0.658,0.0,0.025
12X248,0.9179999999999999,0.231,0.336,0.276,0.694,0.022,0.0
09X274,0.96,0.096,0.27,0.362,0.595,0.025,0.007
07X379,0.8740000000000001,0.121,0.342,0.317,0.628,0.01,0.02
10X094,0.9079999999999999,0.27,0.23,0.13,0.738,0.027,0.08
07X259,0.885,0.132,0.231,0.307,0.637,0.015,0.025
10X091,0.96,0.47,0.257,0.135,0.795,0.014,0.032
08X558,0.816,0.152,0.238,0.225,0.58,0.08,0.087
10X546,0.889,0.054,0.286,0.336,0.604,0.018,0.011
09X250,0.87,0.089,0.255,0.344,0.623,0.003,0.019
11X357,0.815,0.207,0.174,0.052,0.66,0.155,0.122
12X242,0.96,0.193,0.273,0.139,0.801,0.006,0.041
08X537,0.914,0.033,0.158,0.362,0.559,0.033,0.013
09X252,0.909,0.13,0.248,0.26,0.714,0.012,0.003
10X368,0.863,0.174,0.226,0.078,0.855,0.035,0.023
12X061,0.96,0.108,0.149,0.158,0.805,0.012,0.008
09X260,0.898,0.082,0.238,0.275,0.61,0.03,0.057
08X530,0.92,0.158,0.296,0.325,0.658,0.006,0.003
12X388,0.938,0.971,0.026,0.003,0.997,0.0,0.0
09X263,0.902,0.13,0.256,0.389,0.6,0.0,0.004
11X275,0.77,0.108,0.277,0.355,0.503,0.034,0.072
10X535,0.6659999999999999,0.0,0.293,0.241,0.72,0.018,0.013
08X467,0.8590000000000001,0.132,0.214,0.155,0.716,0.059,0.059
09X313,0.905,0.355,0.284,0.27,0.706,0.019,0.0
10X268,0.96,0.94,0.049,0.028,0.923,0.014,0.028
07X065,0.9359999999999999,0.145,0.241,0.309,0.655,0.024,0.004
12X511,0.883,0.207,0.289,0.318,0.638,0.012,0.012
08X371,0.708,0.058,0.248,0.097,0.699,0.123,0.067
07X584,0.96,0.169,0.315,0.254,0.728,0.0,0.009
07X427,0.907,0.206,0.288,0.238,0.74,0.007,0.0
12X550,0.96,0.902,0.028,0.051,0.864,0.009,0.051
09X329,0.9259999999999999,0.198,0.284,0.281,0.691,0.012,0.012
08X367,0.858,0.114,0.297,0.278,0.623,0.02,0.069
10X310,0.9259999999999999,0.201,0.199,0.109,0.85,0.014,0.018
09X339,0.96,0.29,0.285,0.336,0.659,0.005,0.0
07X221,0.93,0.079,0.244,0.25,0.721,0.016,0.008
11X194,0.821,0.181,0.17,0.07,0.495,0.036,0.375
08X349,0.79,0.112,0.249,0.226,0.628,0.057,0.068
10X445,0.479,0.0,0.019,0.037,0.082,0.215,0.625
07X030,0.935,0.196,0.257,0.21,0.758,0.023,0.002
10X280,0.9179999999999999,0.169,0.258,0.103,0.747,0.039,0.1
12X273,0.96,0.157,0.287,0.252,0.691,0.035,0.009
08X348,0.767,0.204,0.21,0.207,0.603,0.095,0.072
10X159,0.909,0.299,0.182,0.136,0.838,0.006,0.0
09X350,0.9209999999999999,0.511,0.201,0.338,0.612,0.014,0.014
09X114,0.9359999999999999,0.275,0.226,0.168,0.749,0.027,0.046
12X271,0.9309999999999999,0.165,0.307,0.261,0.677,0.009,0.023
07X001,0.96,0.188,0.221,0.233,0.736,0.023,0.002
12X006,0.96,0.133,0.206,0.216,0.771,0.004,0.002
10X141,0.526,0.08,0.197,0.095,0.576,0.244,0.064
10X118,0.93,0.144,0.194,0.182,0.588,0.045,0.165
10X477,0.8690000000000001,0.337,0.173,0.126,0.696,0.033,0.117
08X392,0.725,0.042,0.226,0.151,0.667,0.107,0.057
10X279,0.96,0.272,0.229,0.149,0.802,0.008,0.028
09X323,0.96,0.269,0.24,0.256,0.701,0.023,0.016
07X223,0.935,0.056,0.179,0.164,0.811,0.008,0.008
12X267,0.9229999999999999,0.141,0.246,0.191,0.764,0.012,0.019
08X377,0.86,0.07,0.272,0.377,0.553,0.018,0.044
12X044,0.96,0.185,0.123,0.348,0.643,0.004,0.0
10X363,0.917,0.303,0.244,0.113,0.836,0.018,0.021
11X468,0.903,0.173,0.209,0.155,0.619,0.129,0.086
09X324,0.9009999999999999,0.093,0.228,0.233,0.734,0.006,0.019
08X376,0.86,0.163,0.288,0.186,0.722,0.018,0.059
08X014,0.69,0.141,0.189,0.054,0.649,0.192,0.087
09X327,0.93,0.112,0.265,0.181,0.803,0.009,0.004
09X328,0.909,0.165,0.296,0.365,0.613,0.013,0.009
10X447,0.9309999999999999,0.285,0.213,0.13,0.838,0.021,0.005
08X375,0.914,0.182,0.294,0.326,0.567,0.037,0.048
09X241,0.945,0.143,0.282,0.274,0.708,0.005,0.005
11X567,0.877,0.323,0.211,0.16,0.563,0.031,0.226
08X561,0.9079999999999999,0.132,0.266,0.288,0.591,0.034,0.077
09X215,0.9329999999999999,0.138,0.28,0.546,0.426,0.0,0.018
12X134,0.96,0.158,0.201,0.422,0.533,0.018,0.009
09X163,0.96,0.286,0.259,0.383,0.59,0.021,0.0
09X170,0.833,0.172,0.13,0.172,0.802,0.01,0.005
