dbn,school_name,year,enrollment,chronic_absenteeism_rate
10X442,"Celia Cruz Bronx High School of Music, The",2024-25,410,13.17073154
10X445,The Bronx High School of Science,2024-25,2958,10.27721405
10X447,Creston Academy,2024-25,433,31.40877533
10X477,Marble Hill High School for International Studies,2024-25,403,29.03225899
10X524,Crotona International High School,2024-25,395,42.27848053
10X535,Rose Hill Early Childhood Academies,2024-25,528,66.85606384
10X546,Bronx Theatre High School,2024-25,249,68.67469788
10X549,Discovery High School,2024-25,411,24.57420921
10X565,High School for Energy and Technology,2024-25,348,43.39080429
10X696,High School of American Studies at Lehman College,2024-25,395,7.848101139
11X016,P.S. 016 Wakefield,2024-25,390,42.30769348
11X019,P.S. 019 Judith K. Weiss,2024-25,702,17.09401703
11X021,P.S. 021 Philip H. Sheridan,2024-25,466,30.6866951
11X041,P.S. 041 Gun Hill Road,2024-25,693,49.06204987
11X068,P.S. 068 Bronx,2024-25,540,37.0370369
11X076,P.S. 076 The Bennington School,2024-25,648,47.06790161
11X078,P.S. 078 Anne Hutchinson,2024-25,718,49.02507019
11X083,P.S. 083 Donald Hertz,2024-25,1579,25.14249611
11X087,P.S. 087 Bronx,2024-25,348,32.47126389
11X089,P.S. 089 Bronx,2024-25,1254,42.02551651
11X096,P.S. 096 Richard Rodgers,2024-25,938,29.63752747
11X097,P.S. 097 Bronx,2024-25,627,39.39393997
11X103,P.S. 103 Hector Fontanez,2024-25,881,43.70034027
11X105,P.S. 105 Sen Abraham Bernstein,2024-25,727,47.73040009
11X106,P.S. 106 Parkchester,2024-25,895,36.87150955
11X108,P.S. 108 Philip J. Abinanti,2024-25,711,18.28410721
11X111,P.S. 111 Seton Falls,2024-25,448,53.348213200000004
11X112,P.S. 112 Bronxwood,2024-25,398,46.98492432
11X121,P.S. 121 Throop,2024-25,654,39.90825653
11X127,J.H.S. 127 The Castle Hill,2024-25,839,27.41358757
11X144,J.H.S. 144 Michelangelo,2024-25,410,38.53658676
